Platform,Year_of_Release,User_Score
PS3,2014,4.5
PS3,,8.4
DS,2007,7.9
PS2,2004,8.7
GB,1989,
GB,1998,
GC,2005,8.7
PS2,2005,
X360,2011,6.7
DS,2006,8
DS,2007,tbd
PS2,2005,
N64,1998,
2600,1981,
X360,2010,8
PS,1999,9.2
GC,2003,7.8
Wii,2013,4.2
PS2,2004,7.5
PC,1996,8.7
X360,2008,6.7
GC,2006,9.2
PS,1996,
2600,1982,
PS3,2007,6.1
PS,1999,
Wii,2006,6.7
3DS,2012,8.2
Wii,2008,6.8
X360,2008,7.9
PS,2000,
PS3,2011,8.2
GBA,2002,7.6
WiiU,2015,6.5
PS3,2008,8.2
XOne,2013,6.8
PS2,2009,8.1
PS2,2001,8.7
X360,2013,5.4
XOne,2014,5.8
DS,2008,8
X360,2015,2.9
XOne,2014,6.4
PS2,2002,8.6
GC,2005,7.9
DS,2008,8.5
DS,2008,
PS2,2000,6.8
PS2,2006,8.1
X360,2012,8.5
Wii,2008,5.7
NES,1988,
DS,2007,
PS,1995,
SNES,1990,
DS,2009,9
GB,2001,
GBA,2003,
DS,2008,tbd
Wii,2011,7
PS2,2002,5.7
XB,2003,8.5
X360,2010,8
N64,2000,
PS,2001,8.7
Wii,2009,6.9
PC,1999,
PS4,2014,8.1
X360,2010,7.8
DS,2011,tbd
PS3,2010,8.2
PS2,2000,8.2
PC,2003,9
Wii,2008,8.1
X360,2006,8
PS4,2016,
PS2,2005,8.6
PS,1996,
PSV,2011,7.4
Wii,2011,7.8
PS3,2012,6.7
SNES,1994,
PS,1998,
PS3,2012,7.9
GC,2003,8
PS,1997,
PC,2012,4.2
Wii,2007,7.6
PS,1997,
PS2,2002,5
WiiU,2014,8.9
PS,1996,
NES,1984,
NES,1984,
PS,1998,
PC,2010,
PS,1998,
PS3,2009,7.6
GC,2002,8.5
PS2,2002,7.8
DS,2008,7.8
Wii,2008,8.1
X360,2011,8.6
3DS,2013,
Wii,2009,
NES,1988,
PS,2001,
PS,1997,
PS2,2007,8.2
PS,1997,
DS,2007,7.3
PC,2011,8
PS3,2011,8.6
GC,2003,9.1
PS3,2006,6.9
PS2,2000,8.9
PS,1998,
PS2,2002,8.3
PS2,2000,7.7
NES,1986,
N64,2000,
NES,1985,
SCD,1993,
PS3,2010,6.8
PS,1998,
PS3,2008,7.9
GC,2003,8.1
XB,2002,6.9
PS2,2008,7
X360,2010,6.9
N64,2000,
PS2,2006,
PS3,2010,7.7
XOne,2015,6.6
PS4,2016,
PS2,2006,6.9
N64,1999,
GB,1997,
NES,1990,
PSP,2007,7.8
DS,2006,6.5
PS3,2011,7.8
DS,2008,5.5
Wii,2009,tbd
X360,2008,7.1
PS2,2005,7.4
PS2,2004,9
X360,2011,7.8
XB,2004,8.6
3DS,2013,
DS,2007,tbd
GBA,2003,tbd
N64,1999,
PSV,2012,4.8
X360,2012,7.2
X360,2006,8.8
PS,1998,8.4
GBA,2004,tbd
DS,2010,8.2
PS2,2003,tbd
PS,,
3DS,2013,
GC,2001,7.9
PS3,2008,7.9
2600,1981,
PS,1998,
Wii,2009,
GC,2005,8.6
DS,2008,tbd
PS,1998,
X360,2008,7.7
X360,2011,6
PS2,2004,8.6
PS3,2014,2.7
PS2,2004,7.8
PS2,2003,8.3
GB,1996,
NES,1984,
SNES,1993,
GB,1997,
N64,1999,
PS3,2011,8.5
DS,2011,6.9
PS2,2005,
PS4,2013,6.5
Wii,2008,
PS2,2007,7.5
SNES,1996,
Wii,2010,
X360,2013,6.5
DS,2007,6.8
PS2,2004,8.2
PS2,2002,8.6
X360,2010,5.7
PS,1999,7.9
X360,2007,6.8
X360,2010,5
Wii,2007,7.6
PSP,2006,
GB,1988,
DS,2007,tbd
GBA,2004,8.6
PS,1999,
PC,2011,7
Wii,2008,7.5
PSP,2006,7.8
PS3,2008,8.7
PS3,2012,5.5
PS2,2002,7.8
PS2,2005,
PC,2013,2.2
GBA,2004,9
PS2,2004,8.9
SNES,1994,
NES,1987,
PS3,2011,8.4
Wii,2008,8.7
PS3,2013,7.9
GC,2002,
Wii,2006,7.9
DS,2010,7.3
PS3,2010,7.2
GC,2005,
PS3,2012,6
GEN,1994,
X360,2009,8.5
DS,2007,tbd
Wii,2010,2.5
PS,1999,
PS2,2003,
X360,2013,6.6
PS2,2001,8.4
PS2,2004,8.4
X360,2009,8.1
XB,2002,7.5
PSP,2006,8.6
X360,2008,8.7
PS2,2008,6.5
PS,1996,
Wii,2009,6.1
PSP,2004,8.2
GBA,2004,8.4
NES,1990,
PS4,2014,
PS2,2002,7.7
XOne,2014,8.2
PS,2001,8
DS,2009,
SNES,1994,
NES,1991,
PS2,2005,8.8
Wii,2007,
X360,2013,7.9
PS3,2008,6.4
3DS,2014,6.1
Wii,2012,7.1
XB,2003,7.8
Wii,2010,
3DS,2012,
XOne,2013,6.1
XOne,2015,7.3
N64,2000,
XOne,2015,8
PS,1998,
X360,2011,8.3
PS2,2001,8.1
DS,2009,6.7
PS2,2008,8.4
X360,2011,8.3
PS,1998,
DS,2007,6.1
Wii,2010,5.8
PS3,2011,8.2
XB,2004,8.6
N64,1998,
PSP,2005,6.9
PS3,2010,6.7
PS3,2006,7.1
XB,2004,8.9
X360,2011,6
GBA,2003,7.8
X360,2014,5.9
PS2,2008,tbd
NES,1986,
SNES,1996,
2600,1981,
PS2,2002,8.9
PS3,2012,8.1
PS,1999,
Wii,2009,6.3
PS,1997,
DS,2009,9.3
X360,2008,6.9
XOne,2014,8
PS3,2008,8
PS2,2004,8.7
PC,2013,6
XB,2003,
XOne,2016,6.2
PS,1997,
PS2,2004,
PSP,2007,7.4
PSP,2008,8.9
Wii,2007,4.3
X360,2007,7.9
PS2,2002,7.4
X360,2008,8
PS3,2008,7.9
Wii,2010,6.5
X360,2011,7.5
DS,2008,8.9
PS3,2011,7.3
GEN,1994,
XB,2005,7.4
XOne,2015,6.9
PS3,2010,7.8
PSP,2005,8.6
GC,2004,8.3
PS2,2006,8.4
X360,2006,7.1
PC,2000,
PS3,2014,3.5
PS2,2003,8.2
PS3,2008,8.1
PS2,2004,8.6
3DS,2016,
